courseid,title,startdate,grade,instructorid,instructorfirst,instructorlast,instructortitle,studentid,gender,age,admissionyear
304,Statistical Methods for Data Mining,2015-9-20,3.3,16,Adam,Terry,Senior Associate Dean,4,F,17,2010
304,Statistical Methods for Data Mining,2015-9-20,2.3,16,Adam,Terry,Senior Associate Dean,5,,21,2010
304,Statistical Methods for Data Mining,2015-9-20,1.6,16,Adam,Terry,Senior Associate Dean,6,,16,2011
304,Statistical Methods for Data Mining,2015-9-20,3,16,Adam,Terry,Senior Associate Dean,7,F,18,2011
304,Statistical Methods for Data Mining,2015-9-20,1.3,16,Adam,Terry,Senior Associate Dean,13,F,18,2010
304,Statistical Methods for Data Mining,2015-9-20,2.2,16,Adam,Terry,Senior Associate Dean,19,F,21,2010
304,Statistical Methods for Data Mining,2015-9-20,2.4,16,Adam,Terry,Senior Associate Dean,21,M,22,2008
304,Statistical Methods for Data Mining,2015-9-20,2.5,16,Adam,Terry,Senior Associate Dean,23,F,20,2009
304,Statistical Methods for Data Mining,2015-9-20,1.6,16,Adam,Terry,Senior Associate Dean,30,F,21,2010
304,Statistical Methods for Data Mining,2015-9-20,1.8,16,Adam,Terry,Senior Associate Dean,33,F,21,2010
304,Statistical Methods for Data Mining,2015-9-20,3.2,16,Adam,Terry,Senior Associate Dean,34,F,22,2009
304,Statistical Methods for Data Mining,2015-9-20,3.4,16,Adam,Terry,Senior Associate Dean,35,F,21,2008
304,Statistical Methods for Data Mining,2015-9-20,1.5,16,Adam,Terry,Senior Associate Dean,36,M,20,2009
304,Statistical Methods for Data Mining,2015-9-20,3.8,16,Adam,Terry,Senior Associate Dean,41,M,17,2011
304,Statistical Methods for Data Mining,2015-9-20,1.4,16,Adam,Terry,Senior Associate Dean,45,M,18,2011
304,Statistical Methods for Data Mining,2015-9-20,1.9,16,Adam,Terry,Senior Associate Dean,47,F,16,2011
304,Statistical Methods for Data Mining,2015-9-20,3.3,16,Adam,Terry,Senior Associate Dean,51,F,17,2011
304,Statistical Methods for Data Mining,2015-9-20,3.9,16,Adam,Terry,Senior Associate Dean,56,M,20,2009
304,Statistical Methods for Data Mining,2015-9-20,1.2,16,Adam,Terry,Senior Associate Dean,57,,18,2011
304,Statistical Methods for Data Mining,2015-9-20,2.8,16,Adam,Terry,Senior Associate Dean,59,F,18,2009
304,Statistical Methods for Data Mining,2015-9-20,3.1,16,Adam,Terry,Senior Associate Dean,62,M,19,2009
304,Statistical Methods for Data Mining,2015-9-20,2.9,16,Adam,Terry,Senior Associate Dean,65,F,20,2008
304,Statistical Methods for Data Mining,2015-9-20,3.9,16,Adam,Terry,Senior Associate Dean,67,F,18,2011
304,Statistical Methods for Data Mining,2015-9-20,1.4,16,Adam,Terry,Senior Associate Dean,68,F,18,2010
304,Statistical Methods for Data Mining,2015-9-20,1.9,16,Adam,Terry,Senior Associate Dean,70,F,23,2008
304,Statistical Methods for Data Mining,2015-9-20,1.4,16,Adam,Terry,Senior Associate Dean,71,F,20,2010
304,Statistical Methods for Data Mining,2015-9-20,2.2,16,Adam,Terry,Senior Associate Dean,75,M,19,2008
304,Statistical Methods for Data Mining,2015-9-20,2.1,16,Adam,Terry,Senior Associate Dean,76,F,19,2008
304,Statistical Methods for Data Mining,2015-9-20,3.5,16,Adam,Terry,Senior Associate Dean,81,F,20,2009
304,Statistical Methods for Data Mining,2015-9-20,3,16,Adam,Terry,Senior Associate Dean,85,M,20,2010
304,Statistical Methods for Data Mining,2015-9-20,3.7,16,Adam,Terry,Senior Associate Dean,90,F,22,2007
304,Statistical Methods for Data Mining,2015-9-20,3.7,16,Adam,Terry,Senior Associate Dean,91,F,18,2009
313,Deterministic Methods and Optimization,2015-3-16,2.9,18,Amy,Watson,Associate Professor,5,,21,2010
313,Deterministic Methods and Optimization,2015-3-16,3.5,18,Amy,Watson,Associate Professor,6,,16,2011
313,Deterministic Methods and Optimization,2015-3-16,2.5,18,Amy,Watson,Associate Professor,7,F,18,2011
313,Deterministic Methods and Optimization,2015-3-16,1.5,18,Amy,Watson,Associate Professor,8,F,18,2011
313,Deterministic Methods and Optimization,2015-3-16,2.4,18,Amy,Watson,Associate Professor,12,M,19,2011
313,Deterministic Methods and Optimization,2015-3-16,1.5,18,Amy,Watson,Associate Professor,15,M,18,2009
313,Deterministic Methods and Optimization,2015-3-16,1.2,18,Amy,Watson,Associate Professor,16,M,17,2011
313,Deterministic Methods and Optimization,2015-3-16,3,18,Amy,Watson,Associate Professor,20,F,18,2010
313,Deterministic Methods and Optimization,2015-3-16,1.8,18,Amy,Watson,Associate Professor,26,F,16,2011
313,Deterministic Methods and Optimization,2015-3-16,1.3,18,Amy,Watson,Associate Professor,27,M,20,2010
313,Deterministic Methods and Optimization,2015-3-16,4,18,Amy,Watson,Associate Professor,29,F,20,2008
313,Deterministic Methods and Optimization,2015-3-16,2.2,18,Amy,Watson,Associate Professor,36,M,20,2009
313,Deterministic Methods and Optimization,2015-3-16,2.3,18,Amy,Watson,Associate Professor,41,M,17,2011
313,Deterministic Methods and Optimization,2015-3-16,2.4,18,Amy,Watson,Associate Professor,43,M,17,2011
313,Deterministic Methods and Optimization,2015-3-16,2.9,18,Amy,Watson,Associate Professor,46,F,22,2008
313,Deterministic Methods and Optimization,2015-3-16,3.9,18,Amy,Watson,Associate Professor,48,M,22,2009
313,Deterministic Methods and Optimization,2015-3-16,3.2,18,Amy,Watson,Associate Professor,50,F,18,2009
313,Deterministic Methods and Optimization,2015-3-16,3.9,18,Amy,Watson,Associate Professor,51,F,17,2011
313,Deterministic Methods and Optimization,2015-3-16,3.4,18,Amy,Watson,Associate Professor,53,F,19,2009
313,Deterministic Methods and Optimization,2015-3-16,4,18,Amy,Watson,Associate Professor,65,F,20,2008
313,Deterministic Methods and Optimization,2015-3-16,3.2,18,Amy,Watson,Associate Professor,68,F,18,2010
313,Deterministic Methods and Optimization,2015-3-16,3,18,Amy,Watson,Associate Professor,69,F,17,2011
313,Deterministic Methods and Optimization,2015-3-16,3.6,18,Amy,Watson,Associate Professor,78,M,22,2008
313,Deterministic Methods and Optimization,2015-3-16,1.4,18,Amy,Watson,Associate Professor,86,M,22,2007
313,Deterministic Methods and Optimization,2015-3-16,2.3,18,Amy,Watson,Associate Professor,87,M,20,2007
313,Deterministic Methods and Optimization,2015-3-16,1.4,18,Amy,Watson,Associate Professor,89,F,18,2011
313,Deterministic Methods and Optimization,2015-3-16,1.2,18,Amy,Watson,Associate Professor,90,F,22,2007
313,Deterministic Methods and Optimization,2015-3-16,2.7,18,Amy,Watson,Associate Professor,91,F,18,2009
313,Deterministic Methods and Optimization,2015-3-16,3.6,18,Amy,Watson,Associate Professor,93,M,18,2009
313,Deterministic Methods and Optimization,2015-3-16,1.2,18,Amy,Watson,Associate Professor,96,M,22,2008
326,Economics and Finance for Engineers,2015-1-5,2.6,3,Benjamin,Allen,Assistant Professor,0,F,19,2011
326,Economics and Finance for Engineers,2015-1-5,3.2,3,Benjamin,Allen,Assistant Professor,1,M,17,2011
326,Economics and Finance for Engineers,2015-1-5,3,3,Benjamin,Allen,Assistant Professor,2,F,20,2009
326,Economics and Finance for Engineers,2015-1-5,2.9,3,Benjamin,Allen,Assistant Professor,4,F,17,2010
326,Economics and Finance for Engineers,2015-1-5,3.1,3,Benjamin,Allen,Assistant Professor,8,F,18,2011
326,Economics and Finance for Engineers,2015-1-5,3.2,3,Benjamin,Allen,Assistant Professor,10,M,21,2009
326,Economics and Finance for Engineers,2015-1-5,1,3,Benjamin,Allen,Assistant Professor,11,F,24,2007
326,Economics and Finance for Engineers,2015-1-5,3.4,3,Benjamin,Allen,Assistant Professor,14,F,20,2008
326,Economics and Finance for Engineers,2015-1-5,3.9,3,Benjamin,Allen,Assistant Professor,15,M,18,2009
326,Economics and Finance for Engineers,2015-1-5,2,3,Benjamin,Allen,Assistant Professor,17,F,20,2011
326,Economics and Finance for Engineers,2015-1-5,1.3,3,Benjamin,Allen,Assistant Professor,18,M,20,2011
326,Economics and Finance for Engineers,2015-1-5,1.1,3,Benjamin,Allen,Assistant Professor,25,F,20,2008
326,Economics and Finance for Engineers,2015-1-5,2.3,3,Benjamin,Allen,Assistant Professor,26,F,16,2011
326,Economics and Finance for Engineers,2015-1-5,2.3,3,Benjamin,Allen,Assistant Professor,27,M,20,2010
326,Economics and Finance for Engineers,2015-1-5,2.6,3,Benjamin,Allen,Assistant Professor,32,F,17,2011
326,Economics and Finance for Engineers,2015-1-5,3,3,Benjamin,Allen,Assistant Professor,36,M,20,2009
326,Economics and Finance for Engineers,2015-1-5,3.3,3,Benjamin,Allen,Assistant Professor,38,M,23,2008
326,Economics and Finance for Engineers,2015-1-5,3,3,Benjamin,Allen,Assistant Professor,39,M,21,2010
326,Economics and Finance for Engineers,2015-1-5,3.5,3,Benjamin,Allen,Assistant Professor,43,M,17,2011
326,Economics and Finance for Engineers,2015-1-5,3.9,3,Benjamin,Allen,Assistant Professor,44,F,21,2010
326,Economics and Finance for Engineers,2015-1-5,2.5,3,Benjamin,Allen,Assistant Professor,47,F,16,2011
326,Economics and Finance for Engineers,2015-1-5,3.2,3,Benjamin,Allen,Assistant Professor,48,M,22,2009
326,Economics and Finance for Engineers,2015-1-5,1.3,3,Benjamin,Allen,Assistant Professor,51,F,17,2011
326,Economics and Finance for Engineers,2015-1-5,1.7,3,Benjamin,Allen,Assistant Professor,52,M,18,2010
326,Economics and Finance for Engineers,2015-1-5,1.3,3,Benjamin,Allen,Assistant Professor,55,F,21,2010
326,Economics and Finance for Engineers,2015-1-5,2.2,3,Benjamin,Allen,Assistant Professor,56,M,20,2009
326,Economics and Finance for Engineers,2015-1-5,1,3,Benjamin,Allen,Assistant Professor,61,F,19,2010
326,Economics and Finance for Engineers,2015-1-5,1.2,3,Benjamin,Allen,Assistant Professor,63,M,21,2007
326,Economics and Finance for Engineers,2015-1-5,3.8,3,Benjamin,Allen,Assistant Professor,67,F,18,2011
326,Economics and Finance for Engineers,2015-1-5,1.7,3,Benjamin,Allen,Assistant Professor,69,F,17,2011
326,Economics and Finance for Engineers,2015-1-5,2.7,3,Benjamin,Allen,Assistant Professor,70,F,23,2008
326,Economics and Finance for Engineers,2015-1-5,4,3,Benjamin,Allen,Assistant Professor,71,F,20,2010
326,Economics and Finance for Engineers,2015-1-5,3.4,3,Benjamin,Allen,Assistant Professor,72,M,19,2010
326,Economics and Finance for Engineers,2015-1-5,3.6,3,Benjamin,Allen,Assistant Professor,76,F,19,2008
326,Economics and Finance for Engineers,2015-1-5,1.1,3,Benjamin,Allen,Assistant Professor,84,M,19,2009
326,Economics and Finance for Engineers,2015-1-5,2.4,3,Benjamin,Allen,Assistant Professor,89,F,18,2011
326,Economics and Finance for Engineers,2015-1-5,2.9,3,Benjamin,Allen,Assistant Professor,94,F,17,2011
326,Economics and Finance for Engineers,2015-1-5,3.7,3,Benjamin,Allen,Assistant Professor,97,,20,2009
201,Introduction to Statistics,2015-1-5,3.6,1,Bruce,Banner,Associate Professor,0,F,19,2011
201,Introduction to Statistics,2015-1-5,1,1,Bruce,Banner,Associate Professor,8,F,18,2011
201,Introduction to Statistics,2015-1-5,4,1,Bruce,Banner,Associate Professor,9,F,21,2007
303,Statistics,2015-9-20,1.3,1,Bruce,Banner,Associate Professor,9,F,21,2007
303,Statistics,2015-9-20,3.5,1,Bruce,Banner,Associate Professor,10,M,21,2009
201,Introduction to Statistics,2015-1-5,1.3,1,Bruce,Banner,Associate Professor,11,F,24,2007
303,Statistics,2015-9-20,3.1,1,Bruce,Banner,Associate Professor,11,F,24,2007
201,Introduction to Statistics,2015-1-5,3,1,Bruce,Banner,Associate Professor,14,F,20,2008
303,Statistics,2015-9-20,2.9,1,Bruce,Banner,Associate Professor,14,F,20,2008
201,Introduction to Statistics,2015-1-5,1.1,1,Bruce,Banner,Associate Professor,15,M,18,2009
303,Statistics,2015-9-20,1.2,1,Bruce,Banner,Associate Professor,15,M,18,2009
201,Introduction to Statistics,2015-1-5,2.5,1,Bruce,Banner,Associate Professor,19,F,21,2010
303,Statistics,2015-9-20,1.1,1,Bruce,Banner,Associate Professor,21,M,22,2008
201,Introduction to Statistics,2015-1-5,3.7,1,Bruce,Banner,Associate Professor,22,F,16,2011
201,Introduction to Statistics,2015-1-5,1.1,1,Bruce,Banner,Associate Professor,25,F,20,2008
201,Introduction to Statistics,2015-1-5,1.7,1,Bruce,Banner,Associate Professor,26,F,16,2011
201,Introduction to Statistics,2015-1-5,2.4,1,Bruce,Banner,Associate Professor,27,M,20,2010
303,Statistics,2015-9-20,2.9,1,Bruce,Banner,Associate Professor,27,M,20,2010
201,Introduction to Statistics,2015-1-5,1.1,1,Bruce,Banner,Associate Professor,28,M,21,2007
303,Statistics,2015-9-20,2.2,1,Bruce,Banner,Associate Professor,29,F,20,2008
201,Introduction to Statistics,2015-1-5,2.2,1,Bruce,Banner,Associate Professor,30,F,21,2010
303,Statistics,2015-9-20,2.8,1,Bruce,Banner,Associate Professor,30,F,21,2010
201,Introduction to Statistics,2015-1-5,3.7,1,Bruce,Banner,Associate Professor,31,F,21,2007
201,Introduction to Statistics,2015-1-5,2.3,1,Bruce,Banner,Associate Professor,35,F,21,2008
201,Introduction to Statistics,2015-1-5,1.4,1,Bruce,Banner,Associate Professor,36,M,20,2009
303,Statistics,2015-9-20,1.5,1,Bruce,Banner,Associate Professor,38,M,23,2008
201,Introduction to Statistics,2015-1-5,1.6,1,Bruce,Banner,Associate Professor,39,M,21,2010
201,Introduction to Statistics,2015-1-5,3.4,1,Bruce,Banner,Associate Professor,40,M,18,2010
201,Introduction to Statistics,2015-1-5,1.3,1,Bruce,Banner,Associate Professor,46,F,22,2008
303,Statistics,2015-9-20,1.9,1,Bruce,Banner,Associate Professor,46,F,22,2008
303,Statistics,2015-9-20,3.4,1,Bruce,Banner,Associate Professor,50,F,18,2009
303,Statistics,2015-9-20,2.2,1,Bruce,Banner,Associate Professor,53,F,19,2009
201,Introduction to Statistics,2015-1-5,3.9,1,Bruce,Banner,Associate Professor,55,F,21,2010
201,Introduction to Statistics,2015-1-5,3.7,1,Bruce,Banner,Associate Professor,57,,18,2011
201,Introduction to Statistics,2015-1-5,3.2,1,Bruce,Banner,Associate Professor,58,F,21,2010
303,Statistics,2015-9-20,3.4,1,Bruce,Banner,Associate Professor,58,F,21,2010
201,Introduction to Statistics,2015-1-5,1.8,1,Bruce,Banner,Associate Professor,59,F,18,2009
303,Statistics,2015-9-20,2.1,1,Bruce,Banner,Associate Professor,59,F,18,2009
201,Introduction to Statistics,2015-1-5,2.8,1,Bruce,Banner,Associate Professor,63,M,21,2007
201,Introduction to Statistics,2015-1-5,1.4,1,Bruce,Banner,Associate Professor,64,F,16,2011
201,Introduction to Statistics,2015-1-5,2,1,Bruce,Banner,Associate Professor,65,F,20,2008
201,Introduction to Statistics,2015-1-5,1.5,1,Bruce,Banner,Associate Professor,66,F,20,2010
201,Introduction to Statistics,2015-1-5,3.9,1,Bruce,Banner,Associate Professor,68,F,18,2010
303,Statistics,2015-9-20,1.1,1,Bruce,Banner,Associate Professor,74,F,22,2009
201,Introduction to Statistics,2015-1-5,1.9,1,Bruce,Banner,Associate Professor,76,F,19,2008
303,Statistics,2015-9-20,2.6,1,Bruce,Banner,Associate Professor,76,F,19,2008
201,Introduction to Statistics,2015-1-5,3.9,1,Bruce,Banner,Associate Professor,77,F,18,2010
303,Statistics,2015-9-20,2.1,1,Bruce,Banner,Associate Professor,78,M,22,2008
201,Introduction to Statistics,2015-1-5,1.5,1,Bruce,Banner,Associate Professor,79,F,22,2007
303,Statistics,2015-9-20,3.1,1,Bruce,Banner,Associate Professor,79,F,22,2007
201,Introduction to Statistics,2015-1-5,3.7,1,Bruce,Banner,Associate Professor,81,F,20,2009
303,Statistics,2015-9-20,3,1,Bruce,Banner,Associate Professor,83,M,,2009
201,Introduction to Statistics,2015-1-5,1.6,1,Bruce,Banner,Associate Professor,84,M,19,2009
201,Introduction to Statistics,2015-1-5,1.1,1,Bruce,Banner,Associate Professor,85,M,20,2010
303,Statistics,2015-9-20,3.7,1,Bruce,Banner,Associate Professor,86,M,22,2007
201,Introduction to Statistics,2015-1-5,2.9,1,Bruce,Banner,Associate Professor,89,F,18,2011
303,Statistics,2015-9-20,3.4,1,Bruce,Banner,Associate Professor,89,F,18,2011
303,Statistics,2015-9-20,1.2,1,Bruce,Banner,Associate Professor,93,M,18,2009
303,Statistics,2015-9-20,2.4,1,Bruce,Banner,Associate Professor,94,F,17,2011
201,Introduction to Statistics,2015-1-5,1.3,1,Bruce,Banner,Associate Professor,95,M,23,2008
340,Field Project Methods,2015-1-5,2.3,17,Charles,Johnson,Professor,0,F,19,2011
392,Systems Project Management,2016-3-9,1.9,17,Charles,Johnson,Professor,1,M,17,2011
392,Systems Project Management,2016-3-9,3,17,Charles,Johnson,Professor,2,F,20,2009
340,Field Project Methods,2015-1-5,1.9,17,Charles,Johnson,Professor,3,F,22,2009
390,Systems Management,2015-1-7,2.6,17,Charles,Johnson,Professor,3,F,22,2009
392,Systems Project Management,2016-3-9,3.7,17,Charles,Johnson,Professor,4,F,17,2010
340,Field Project Methods,2015-1-5,1.2,17,Charles,Johnson,Professor,5,,21,2010
392,Systems Project Management,2016-3-9,3.8,17,Charles,Johnson,Professor,5,,21,2010
390,Systems Management,2015-1-7,3.2,17,Charles,Johnson,Professor,6,,16,2011
340,Field Project Methods,2015-1-5,2.8,17,Charles,Johnson,Professor,8,F,18,2011
392,Systems Project Management,2016-3-9,3.5,17,Charles,Johnson,Professor,8,F,18,2011
340,Field Project Methods,2015-1-5,1.6,17,Charles,Johnson,Professor,10,M,21,2009
390,Systems Management,2015-1-7,1.1,17,Charles,Johnson,Professor,10,M,21,2009
392,Systems Project Management,2016-3-9,1.5,17,Charles,Johnson,Professor,10,M,21,2009
390,Systems Management,2015-1-7,3.5,17,Charles,Johnson,Professor,12,M,19,2011
392,Systems Project Management,2016-3-9,3.3,17,Charles,Johnson,Professor,13,F,18,2010
390,Systems Management,2015-1-7,2.6,17,Charles,Johnson,Professor,15,M,18,2009
390,Systems Management,2015-1-7,2.2,17,Charles,Johnson,Professor,16,M,17,2011
390,Systems Management,2015-1-7,1.7,17,Charles,Johnson,Professor,17,F,20,2011
340,Field Project Methods,2015-1-5,1.8,17,Charles,Johnson,Professor,18,M,20,2011
390,Systems Management,2015-1-7,1.3,17,Charles,Johnson,Professor,18,M,20,2011
392,Systems Project Management,2016-3-9,3.9,17,Charles,Johnson,Professor,19,F,21,2010
340,Field Project Methods,2015-1-5,3.5,17,Charles,Johnson,Professor,20,F,18,2010
390,Systems Management,2015-1-7,2,17,Charles,Johnson,Professor,22,F,16,2011
392,Systems Project Management,2016-3-9,2.5,17,Charles,Johnson,Professor,22,F,16,2011
340,Field Project Methods,2015-1-5,3.6,17,Charles,Johnson,Professor,23,F,20,2009
390,Systems Management,2015-1-7,3.4,17,Charles,Johnson,Professor,25,F,20,2008
340,Field Project Methods,2015-1-5,3.7,17,Charles,Johnson,Professor,26,F,16,2011
340,Field Project Methods,2015-1-5,1.1,17,Charles,Johnson,Professor,31,F,21,2007
390,Systems Management,2015-1-7,2.1,17,Charles,Johnson,Professor,31,F,21,2007
392,Systems Project Management,2016-3-9,3.8,17,Charles,Johnson,Professor,34,F,22,2009
390,Systems Management,2015-1-7,1.8,17,Charles,Johnson,Professor,35,F,21,2008
392,Systems Project Management,2016-3-9,3.9,17,Charles,Johnson,Professor,35,F,21,2008
392,Systems Project Management,2016-3-9,3.3,17,Charles,Johnson,Professor,36,M,20,2009
390,Systems Management,2015-1-7,3.9,17,Charles,Johnson,Professor,37,F,23,2007
340,Field Project Methods,2015-1-5,1.4,17,Charles,Johnson,Professor,38,M,23,2008
390,Systems Management,2015-1-7,2.9,17,Charles,Johnson,Professor,38,M,23,2008
392,Systems Project Management,2016-3-9,2.3,17,Charles,Johnson,Professor,38,M,23,2008
392,Systems Project Management,2016-3-9,3.1,17,Charles,Johnson,Professor,39,M,21,2010
390,Systems Management,2015-1-7,3.6,17,Charles,Johnson,Professor,40,M,18,2010
392,Systems Project Management,2016-3-9,3,17,Charles,Johnson,Professor,41,M,17,2011
392,Systems Project Management,2016-3-9,3.7,17,Charles,Johnson,Professor,42,F,,2011
392,Systems Project Management,2016-3-9,3.8,17,Charles,Johnson,Professor,44,F,21,2010
390,Systems Management,2015-1-7,1.9,17,Charles,Johnson,Professor,45,M,18,2011
392,Systems Project Management,2016-3-9,2.3,17,Charles,Johnson,Professor,45,M,18,2011
392,Systems Project Management,2016-3-9,1.8,17,Charles,Johnson,Professor,46,F,22,2008
340,Field Project Methods,2015-1-5,1.7,17,Charles,Johnson,Professor,47,F,16,2011
390,Systems Management,2015-1-7,2,17,Charles,Johnson,Professor,47,F,16,2011
340,Field Project Methods,2015-1-5,3.7,17,Charles,Johnson,Professor,48,M,22,2009
340,Field Project Methods,2015-1-5,1.9,17,Charles,Johnson,Professor,49,M,22,2008
390,Systems Management,2015-1-7,2.1,17,Charles,Johnson,Professor,52,M,18,2010
392,Systems Project Management,2016-3-9,3.1,17,Charles,Johnson,Professor,52,M,18,2010
390,Systems Management,2015-1-7,2.3,17,Charles,Johnson,Professor,53,F,19,2009
340,Field Project Methods,2015-1-5,1.6,17,Charles,Johnson,Professor,54,F,17,2011
340,Field Project Methods,2015-1-5,3.4,17,Charles,Johnson,Professor,55,F,21,2010
